id,en,ja
title,"Cool Homepage","クール ホームページ"
lang,en,ja
otherLang,ja,en
otherLangName,日本語,English
index.title,"Welcome to the Frontend Conference 2016!","Ｆｒｏｎｔｅｎｄ  Ｃｏｎｆｅｒｅｎｃｅ  ２０１６にようこぞ!"
index.content,"Today we will study internationalization to bring commerce and entertainment from and to Osaka. Our skill is important for making Kansai better.","今日は国際化を学びましょう。営業やエンタテインメントは海外とシェアしますように。私たちのスキルは関西のために大切です。"
product.title,"Product for the conference!","発表ようの商品!"
product.content,"Because you will need to buy something, else it isn't gonna pay for itself.","何かを買わないといけません。買わないとどこからお金が入るの？"
link.home,"Home","ホーム"
link.product,"Product","商品"
fbLang,"en_US","ja_JP"
